Target Distance:1,Step Size:100
0 : Mover object mode is invaild
After 1 steps, thr mover has the following location:
57 : (x,y) = (-1.89939,4.50242)

58 : (x,y) = (-2.36329,3.61653)

59 : (x,y) = (-2.74569,2.69253)

60 : (x,y) = (-3.59379,2.16269)

61 : (x,y) = (-4.3379,2.83075)

62 : (x,y) = (-5.22563,2.37038)

63 : (x,y) = (-5.81413,3.17888)

64 : (x,y) = (-6.14987,2.23692)

65 : (x,y) = (-5.33205,1.66145)

66 : (x,y) = (-4.72082,0.869993)

67 : (x,y) = (-3.87357,1.40118)

68 : (x,y) = (-4.36976,2.26939)

69 : (x,y) = (-5.2606,2.7237)

70 : (x,y) = (-4.73724,3.57581)

71 : (x,y) = (-4.54091,2.59527)

72 : (x,y) = (-4.46337,1.59828)

73 : (x,y) = (-5.07046,0.803643)

74 : (x,y) = (-4.28862,0.180164)

75 : (x,y) = (-5.22508,-0.170619)

76 : (x,y) = (-6.22175,-0.0891173)

77 : (x,y) = (-5.94463,0.871718)

78 : (x,y) = (-6.35457,-0.0403945)

79 : (x,y) = (-5.35477,-0.0203958)

80 : (x,y) = (-4.36009,-0.123398)

81 : (x,y) = (-3.38419,0.0948315)

82 : (x,y) = (-3.45334,1.09244)

83 : (x,y) = (-4.24846,1.69889)

84 : (x,y) = (-3.53979,0.993351)

85 : (x,y) = (-3.66863,1.98502)

86 : (x,y) = (-2.68479,2.16405)

87 : (x,y) = (-2.15563,1.31552)

88 : (x,y) = (-3.09097,1.66929)

89 : (x,y) = (-2.20397,2.13107)

90 : (x,y) = (-1.82305,3.05567)

91 : (x,y) = (-1.51075,2.10569)

92 : (x,y) = (-2.43626,1.72697)

93 : (x,y) = (-3.16686,2.40978)

94 : (x,y) = (-3.84792,3.14201)

95 : (x,y) = (-2.86652,2.95002)

96 : (x,y) = (-2.98544,3.94293)

97 : (x,y) = (-3.96957,3.76546)

98 : (x,y) = (-4.93106,3.49064)

99 : (x,y) = (-4.48031,2.59799)

100 : (x,y) = (-4.16801,1.64801)

101 : (x,y) = (-3.25623,1.23734)

102 : (x,y) = (-4.17667,1.62823)

103 : (x,y) = (-3.17866,1.56508)

104 : (x,y) = (-4.13353,1.86212)

105 : (x,y) = (-5.01978,2.32531)

106 : (x,y) = (-5.60829,3.13381)

107 : (x,y) = (-5.27705,2.19026)

108 : (x,y) = (-5.86555,2.99876)

109 : (x,y) = (-6.86538,2.98035)

110 : (x,y) = (-7.76073,3.42573)

111 : (x,y) = (-7.84981,4.42175)

112 : (x,y) = (-8.39145,3.58114)

113 : (x,y) = (-8.89041,2.71451)

114 : (x,y) = (-9.71664,2.15119)

115 : (x,y) = (-9.21317,1.28717)

116 : (x,y) = (-8.23374,1.08538)

117 : (x,y) = (-7.31662,1.48399)

118 : (x,y) = (-8.08249,0.840993)

119 : (x,y) = (-9.0783,0.932458)

120 : (x,y) = (-8.72528,1.86807)

121 : (x,y) = (-8.81436,2.8641)

122 : (x,y) = (-7.99654,2.28862)

123 : (x,y) = (-7.27171,2.97754)

124 : (x,y) = (-7.9815,3.68195)

125 : (x,y) = (-7.59428,2.75997)

126 : (x,y) = (-7.60349,3.75992)

127 : (x,y) = (-7.9173,4.70941)

128 : (x,y) = (-7.53932,3.78359)

129 : (x,y) = (-6.59109,3.46601)

130 : (x,y) = (-6.55349,2.46671)

131 : (x,y) = (-6.26983,1.50779)

132 : (x,y) = (-5.68814,2.3212)

133 : (x,y) = (-5.81023,1.32868)

134 : (x,y) = (-6.78578,1.54847)

135 : (x,y) = (-7.73551,1.23541)

136 : (x,y) = (-7.1061,2.01249)

137 : (x,y) = (-6.62597,2.88969)

138 : (x,y) = (-7.56589,2.54828)

139 : (x,y) = (-6.59777,2.2978)

140 : (x,y) = (-6.98646,3.21917)

141 : (x,y) = (-7.0855,4.21425)

142 : (x,y) = (-6.20792,4.69368)

143 : (x,y) = (-6.04781,5.68078)

144 : (x,y) = (-7.03366,5.51316)

145 : (x,y) = (-6.30415,4.8292)

146 : (x,y) = (-6.54417,3.85843)

147 : (x,y) = (-6.52338,4.85821)

148 : (x,y) = (-5.53096,4.73534)

149 : (x,y) = (-4.98493,3.89757)

150 : (x,y) = (-4.61327,4.82594)

151 : (x,y) = (-5.25165,4.05622)

152 : (x,y) = (-6.18811,3.70543)

153 : (x,y) = (-7.12456,3.35465)

154 : (x,y) = (-7.52536,2.43848)

155 : (x,y) = (-8.45462,2.06904)

156 : (x,y) = (-7.9398,2.92634)

157 : (x,y) = (-8.40972,3.80905)

158 : (x,y) = (-9.40665,3.73072)

159 : (x,y) = (-9.48577,4.72759)

160 : (x,y) = (-9.62768,3.73771)

161 : (x,y) = (-10.4464,4.31188)

162 : (x,y) = (-9.9779,3.42842)

163 : (x,y) = (-10.9779,3.42002)

164 : (x,y) = (-10.2327,4.08689)

165 : (x,y) = (-9.53598,4.80424)

166 : (x,y) = (-8.77319,4.15759)

167 : (x,y) = (-8.60323,5.14304)

168 : (x,y) = (-9.58553,4.95575)

169 : (x,y) = (-8.6332,5.26081)

170 : (x,y) = (-9.59999,5.00527)

171 : (x,y) = (-9.01831,5.81868)

172 : (x,y) = (-9.28427,6.78266)

173 : (x,y) = (-9.62001,5.84071)

174 : (x,y) = (-10.0632,6.73711)

175 : (x,y) = (-9.31355,6.07534)

176 : (x,y) = (-8.81597,6.94276)

177 : (x,y) = (-8.25895,7.77326)

178 : (x,y) = (-7.98183,8.73409)

179 : (x,y) = (-7.16401,8.15862)

180 : (x,y) = (-7.51852,7.22357)

181 : (x,y) = (-6.93131,6.41413)

182 : (x,y) = (-6.44244,7.28649)

183 : (x,y) = (-5.4932,7.60106)

184 : (x,y) = (-4.91152,8.41447)

185 : (x,y) = (-5.5949,7.68441)

186 : (x,y) = (-5.71699,6.69189)

187 : (x,y) = (-6.62242,6.26739)

188 : (x,y) = (-7.54286,6.65828)

189 : (x,y) = (-6.55457,6.50569)

190 : (x,y) = (-5.59632,6.79164)

191 : (x,y) = (-6.41506,7.36582)

192 : (x,y) = (-7.27706,7.87272)

193 : (x,y) = (-7.36614,8.86875)

194 : (x,y) = (-7.16002,7.89022)

195 : (x,y) = (-6.85724,6.93716)

196 : (x,y) = (-7.55508,6.22092)

197 : (x,y) = (-8.55252,6.29245)

198 : (x,y) = (-9.38435,5.73741)

199 : (x,y) = (-9.37674,4.73744)

200 : (x,y) = (-10.3767,4.74903)

201 : (x,y) = (-9.59483,4.12555)

202 : (x,y) = (-10.5929,4.18711)

203 : (x,y) = (-10.9568,3.25565)

204 : (x,y) = (-11.7333,3.88568)

205 : (x,y) = (-10.778,4.1812)

206 : (x,y) = (-10.8272,5.17999)

207 : (x,y) = (-10.1185,4.47445)

208 : (x,y) = (-9.27662,5.01408)

209 : (x,y) = (-9.58092,5.96665)

210 : (x,y) = (-9.16623,5.0567)

211 : (x,y) = (-10.0787,5.46591)

212 : (x,y) = (-11.048,5.22005)

213 : (x,y) = (-11.236,6.2022)

214 : (x,y) = (-11.3283,5.20647)

215 : (x,y) = (-11.5065,6.19045)

216 : (x,y) = (-10.8194,5.46397)

217 : (x,y) = (-11.8094,5.60509)

218 : (x,y) = (-12.719,5.18967)

219 : (x,y) = (-13.7189,5.18126)

220 : (x,y) = (-14.6804,4.90644)

221 : (x,y) = (-15.457,5.53647)

222 : (x,y) = (-15.107,4.59973)

223 : (x,y) = (-14.22,5.06151)

224 : (x,y) = (-13.2361,5.24054)

225 : (x,y) = (-14.2247,5.39156)

226 : (x,y) = (-14.3337,6.3856)

227 : (x,y) = (-14.4625,7.37726)

228 : (x,y) = (-13.9649,8.24469)

229 : (x,y) = (-14.5398,7.42641)

230 : (x,y) = (-15.1283,8.23491)

231 : (x,y) = (-15.6244,9.10312)

232 : (x,y) = (-14.9873,9.87386)

233 : (x,y) = (-14.7488,10.845)

234 : (x,y) = (-15.6666,10.4479)

235 : (x,y) = (-16.5749,10.8662)

236 : (x,y) = (-17.319,11.5342)

237 : (x,y) = (-16.7956,12.3863)

238 : (x,y) = (-17.7908,12.2881)

239 : (x,y) = (-16.9053,11.8235)

240 : (x,y) = (-17.854,12.1396)

241 : (x,y) = (-17.2324,12.9229)

242 : (x,y) = (-18.1842,13.2295)

243 : (x,y) = (-18.843,13.9818)

244 : (x,y) = (-19.8348,13.8537)

245 : (x,y) = (-20.7813,13.5312)

246 : (x,y) = (-21.5723,12.9194)

247 : (x,y) = (-20.5799,12.7965)

248 : (x,y) = (-20.7416,11.8096)

249 : (x,y) = (-21.0648,12.7559)

250 : (x,y) = (-20.576,13.6283)

251 : (x,y) = (-19.667,14.0452)

252 : (x,y) = (-19.0558,13.2537)

253 : (x,y) = (-18.7435,12.3037)

254 : (x,y) = (-18.3563,11.3817)

255 : (x,y) = (-17.5253,11.9381)

256 : (x,y) = (-17.048,11.0594)

257 : (x,y) = (-17.9116,10.5552)

258 : (x,y) = (-17.9408,11.5548)

259 : (x,y) = (-16.9649,11.773)

260 : (x,y) = (-16.0362,12.1439)

261 : (x,y) = (-16.5497,13.0021)

262 : (x,y) = (-17.532,12.8148)

263 : (x,y) = (-18.4601,13.1872)

264 : (x,y) = (-18.1164,14.1263)

265 : (x,y) = (-18.7901,14.8653)

266 : (x,y) = (-19.6984,15.2836)

267 : (x,y) = (-18.9946,15.9939)

268 : (x,y) = (-18.9039,16.9898)

269 : (x,y) = (-19.511,16.1952)

270 : (x,y) = (-19.9721,17.0825)

271 : (x,y) = (-19.1524,17.6554)

272 : (x,y) = (-19.9183,17.0124)

273 : (x,y) = (-19.5935,17.9582)

274 : (x,y) = (-18.6068,17.7957)

275 : (x,y) = (-19.4495,17.2574)

276 : (x,y) = (-18.672,17.8862)

277 : (x,y) = (-18.4141,18.8524)

278 : (x,y) = (-17.5564,19.3666)

279 : (x,y) = (-16.5653,19.2338)

280 : (x,y) = (-16.1477,20.1424)

281 : (x,y) = (-17.0964,20.4585)

282 : (x,y) = (-17.7476,21.2174)

283 : (x,y) = (-18.0454,20.2627)

284 : (x,y) = (-18.3306,21.2212)

285 : (x,y) = (-19.0043,21.9602)

286 : (x,y) = (-19.4831,22.8382)

287 : (x,y) = (-18.5826,23.2731)

288 : (x,y) = (-19.2414,24.0255)

289 : (x,y) = (-20.2255,23.848)

290 : (x,y) = (-19.5311,23.1284)

291 : (x,y) = (-19.7874,24.095)

292 : (x,y) = (-20.3622,23.2767)

293 : (x,y) = (-19.3663,23.3666)

294 : (x,y) = (-18.3824,23.5457)

295 : (x,y) = (-17.6327,22.8839)

296 : (x,y) = (-18.1115,23.7618)

297 : (x,y) = (-17.1504,24.0382)

298 : (x,y) = (-18.0903,23.6968)

299 : (x,y) = (-17.334,23.0426)

300 : (x,y) = (-18.3157,23.233)

301 : (x,y) = (-17.3547,23.5093)

302 : (x,y) = (-16.8228,24.3562)

303 : (x,y) = (-17.5736,25.0167)

304 : (x,y) = (-16.8769,25.7341)

305 : (x,y) = (-17.1235,26.7032)

306 : (x,y) = (-17.9553,26.1482)

307 : (x,y) = (-17.073,26.6188)

308 : (x,y) = (-17.4181,25.6802)

309 : (x,y) = (-16.8805,24.8371)

310 : (x,y) = (-17.5903,25.5415)

311 : (x,y) = (-18.549,25.257)

312 : (x,y) = (-18.7762,26.2309)

313 : (x,y) = (-18.0244,26.8903)

314 : (x,y) = (-18.8154,26.2784)

315 : (x,y) = (-19.7553,25.937)

316 : (x,y) = (-20.704,26.2531)

317 : (x,y) = (-21.2116,25.3915)

318 : (x,y) = (-21.6577,24.4965)

319 : (x,y) = (-20.785,24.9847)

320 : (x,y) = (-20.0201,25.6289)

321 : (x,y) = (-20.7642,26.297)

322 : (x,y) = (-19.8032,26.5733)

323 : (x,y) = (-18.8861,26.9719)

324 : (x,y) = (-19.8798,27.0833)

325 : (x,y) = (-19.096,27.7043)

326 : (x,y) = (-18.5984,28.5717)

327 : (x,y) = (-19.4229,29.1376)

328 : (x,y) = (-20.4227,29.1192)

329 : (x,y) = (-20.2756,28.1301)

330 : (x,y) = (-20.3778,27.1354)

331 : (x,y) = (-19.5431,26.5847)

332 : (x,y) = (-20.495,26.8912)

333 : (x,y) = (-19.835,27.6425)

334 : (x,y) = (-19.2974,26.7993)

335 : (x,y) = (-18.5657,27.481)

336 : (x,y) = (-19.444,27.0029)

337 : (x,y) = (-18.5585,26.5383)

338 : (x,y) = (-19.0661,25.6768)

339 : (x,y) = (-19.7781,24.9746)

340 : (x,y) = (-20.7774,24.9362)

341 : (x,y) = (-21.3248,25.7731)

342 : (x,y) = (-20.4585,25.2735)

343 : (x,y) = (-21.2941,25.8228)

344 : (x,y) = (-21.9825,26.5482)

345 : (x,y) = (-21.5769,25.6341)

346 : (x,y) = (-20.9657,24.8427)

347 : (x,y) = (-20.3678,25.6443)

348 : (x,y) = (-21.3312,25.9126)

349 : (x,y) = (-21.7951,25.0267)

350 : (x,y) = (-21.0323,24.38)

351 : (x,y) = (-20.0323,24.38)

352 : (x,y) = (-19.5288,23.516)

353 : (x,y) = (-18.6512,23.9954)

354 : (x,y) = (-18.3549,24.9505)

355 : (x,y) = (-17.9677,24.0286)

356 : (x,y) = (-18.9513,24.2092)

357 : (x,y) = (-19.8901,24.5535)

358 : (x,y) = (-20.8899,24.5351)

359 : (x,y) = (-19.9939,24.9791)

360 : (x,y) = (-19.8271,23.9931)

361 : (x,y) = (-20.6735,24.5256)

362 : (x,y) = (-20.7558,23.529)

363 : (x,y) = (-21.5065,24.1896)

364 : (x,y) = (-22.4394,23.8295)

365 : (x,y) = (-22.6373,24.8097)

366 : (x,y) = (-23.0625,25.7148)

367 : (x,y) = (-24.0212,25.4304)

368 : (x,y) = (-24.1035,24.4338)

369 : (x,y) = (-24.7722,23.6902)

370 : (x,y) = (-25.3111,24.5325)

371 : (x,y) = (-25.9723,23.7823)

372 : (x,y) = (-26.8928,24.1732)

373 : (x,y) = (-27.4676,23.3549)

374 : (x,y) = (-26.4875,23.5536)

375 : (x,y) = (-25.6854,24.1508)

376 : (x,y) = (-25.5748,25.1446)

377 : (x,y) = (-25.7531,26.1286)

378 : (x,y) = (-25.0515,25.416)

379 : (x,y) = (-24.2887,24.7694)

380 : (x,y) = (-24.593,25.7219)

381 : (x,y) = (-25.0092,26.6312)

382 : (x,y) = (-24.0548,26.3327)

383 : (x,y) = (-23.0612,26.2197)

384 : (x,y) = (-22.9308,27.2112)

385 : (x,y) = (-23.7378,27.8016)

386 : (x,y) = (-23.7002,26.8023)

387 : (x,y) = (-22.7004,26.8223)

388 : (x,y) = (-23.396,27.5408)

389 : (x,y) = (-24.1355,26.8677)

390 : (x,y) = (-24.6688,26.0217)

391 : (x,y) = (-24.9474,25.0613)

392 : (x,y) = (-24.3337,25.8508)

393 : (x,y) = (-23.796,25.0076)

394 : (x,y) = (-24.3036,24.146)

395 : (x,y) = (-25.1605,24.6615)

396 : (x,y) = (-25.8703,25.3659)

397 : (x,y) = (-25.6155,24.3989)

398 : (x,y) = (-24.7578,24.9131)

399 : (x,y) = (-23.94,24.3376)

400 : (x,y) = (-24.8277,23.8772)

401 : (x,y) = (-24.9001,22.8799)

402 : (x,y) = (-25.1078,23.8581)

403 : (x,y) = (-25.6881,24.6724)

404 : (x,y) = (-24.9169,25.3089)

405 : (x,y) = (-25.4585,24.4683)

406 : (x,y) = (-26.0656,23.6737)

407 : (x,y) = (-25.8108,22.7067)

408 : (x,y) = (-25.7401,23.7042)

409 : (x,y) = (-25.3685,24.6325)

410 : (x,y) = (-25.3808,23.6326)

411 : (x,y) = (-25.4631,22.636)

412 : (x,y) = (-24.4734,22.4933)

413 : (x,y) = (-23.6958,23.1221)

414 : (x,y) = (-23.4187,24.0829)

415 : (x,y) = (-23.9827,24.9087)

416 : (x,y) = (-24.9404,25.1962)

417 : (x,y) = (-25.0494,26.1903)

418 : (x,y) = (-25.1385,27.1863)

419 : (x,y) = (-24.676,28.0729)

420 : (x,y) = (-24.0623,28.8624)

421 : (x,y) = (-25.011,29.1785)

422 : (x,y) = (-25.4985,30.0516)

423 : (x,y) = (-26.4695,30.2909)

424 : (x,y) = (-26.7192,29.3226)

425 : (x,y) = (-27.6647,29.6481)

426 : (x,y) = (-28.5367,30.1377)

427 : (x,y) = (-27.5401,30.0546)

428 : (x,y) = (-27.9951,29.1641)

429 : (x,y) = (-28.6979,29.8756)

430 : (x,y) = (-29.1078,28.9635)

431 : (x,y) = (-28.9972,29.9573)

432 : (x,y) = (-29.1589,28.9705)

433 : (x,y) = (-28.448,29.6738)

434 : (x,y) = (-27.4936,29.3752)

435 : (x,y) = (-26.6934,28.7754)

436 : (x,y) = (-26.2045,29.6478)

437 : (x,y) = (-25.7011,28.7838)

438 : (x,y) = (-25.4529,29.7525)

439 : (x,y) = (-24.622,30.3089)

440 : (x,y) = (-25.4955,29.8221)

441 : (x,y) = (-25.6243,30.8137)

442 : (x,y) = (-25.7959,29.8286)

443 : (x,y) = (-26.4546,30.5809)

444 : (x,y) = (-26.2847,31.5663)

445 : (x,y) = (-25.3166,31.3159)

446 : (x,y) = (-25.249,30.3181)

447 : (x,y) = (-25.7101,31.2055)

448 : (x,y) = (-26.5869,31.6863)

449 : (x,y) = (-27.5578,31.9256)

450 : (x,y) = (-28.2906,31.2451)

451 : (x,y) = (-28.1701,32.2378)

452 : (x,y) = (-28.1026,31.2401)

453 : (x,y) = (-27.373,30.5561)

454 : (x,y) = (-26.5102,31.0617)

455 : (x,y) = (-25.5558,30.7631)

456 : (x,y) = (-24.5845,31.0008)

457 : (x,y) = (-24.5869,30.0008)

458 : (x,y) = (-23.6316,30.2963)

459 : (x,y) = (-23.849,31.2724)

460 : (x,y) = (-24.7655,31.6725)

461 : (x,y) = (-25.2617,32.5407)

462 : (x,y) = (-25.3109,33.5395)

463 : (x,y) = (-24.6996,32.748)

464 : (x,y) = (-23.8577,33.2877)

465 : (x,y) = (-23.4613,32.3696)

466 : (x,y) = (-22.8089,33.1274)

467 : (x,y) = (-22.1489,33.8787)

468 : (x,y) = (-21.3293,34.4516)

469 : (x,y) = (-20.3865,34.7851)

470 : (x,y) = (-20.2394,33.7959)

471 : (x,y) = (-20.9857,33.1303)

472 : (x,y) = (-20.4148,32.3092)

473 : (x,y) = (-20.507,31.3135)

474 : (x,y) = (-21.0736,30.4895)

475 : (x,y) = (-21.7348,29.7393)

476 : (x,y) = (-20.8387,30.1832)

477 : (x,y) = (-20.941,29.1885)

478 : (x,y) = (-20.0884,29.7112)

479 : (x,y) = (-20.4984,28.7991)

480 : (x,y) = (-21.4983,28.7906)

481 : (x,y) = (-22.4066,29.209)

482 : (x,y) = (-22.8854,30.0869)

483 : (x,y) = (-23.6181,29.4065)

484 : (x,y) = (-23.6105,28.4065)

485 : (x,y) = (-22.7477,28.912)

486 : (x,y) = (-22.8964,29.9009)

487 : (x,y) = (-22.8356,30.8991)

488 : (x,y) = (-23.5406,30.1898)

489 : (x,y) = (-23.003,29.3466)

490 : (x,y) = (-23.2593,30.3132)

491 : (x,y) = (-24.0034,30.9813)

492 : (x,y) = (-24.6025,30.1806)

493 : (x,y) = (-24.7444,29.1907)

494 : (x,y) = (-25.1146,30.1197)

495 : (x,y) = (-25.3156,29.1401)

496 : (x,y) = (-24.7753,29.9816)

497 : (x,y) = (-25.2888,30.8397)

498 : (x,y) = (-25.1022,29.8573)

499 : (x,y) = (-25.7709,29.1137)

500 : (x,y) = (-25.7333,28.1144)

501 : (x,y) = (-25.1117,28.8977)

502 : (x,y) = (-25.2801,29.8834)

503 : (x,y) = (-24.5574,29.1922)

504 : (x,y) = (-23.6997,29.7063)

505 : (x,y) = (-24.6911,29.8376)

506 : (x,y) = (-25.6366,30.1631)

507 : (x,y) = (-26.1698,29.3171)

508 : (x,y) = (-26.4741,30.2697)

509 : (x,y) = (-26.8004,29.3244)

510 : (x,y) = (-27.6035,28.7285)

511 : (x,y) = (-26.7562,29.2597)

512 : (x,y) = (-26.2877,28.3762)

513 : (x,y) = (-25.591,29.0936)

514 : (x,y) = (-25.5202,30.0911)

515 : (x,y) = (-24.8702,29.3312)

516 : (x,y) = (-23.9252,29.0041)

517 : (x,y) = (-23.4716,29.8953)

518 : (x,y) = (-24.2922,29.3238)

519 : (x,y) = (-23.9959,30.2789)

520 : (x,y) = (-24.1674,29.2937)

521 : (x,y) = (-25.0138,29.8262)

522 : (x,y) = (-26.0131,29.7878)

523 : (x,y) = (-25.207,29.1961)

524 : (x,y) = (-25.6591,30.088)

525 : (x,y) = (-26.4294,30.7258)

526 : (x,y) = (-27.4111,30.9162)

527 : (x,y) = (-27.3535,29.9179)

528 : (x,y) = (-26.624,29.2339)

529 : (x,y) = (-25.6917,29.5955)

530 : (x,y) = (-25.3984,28.6395)

531 : (x,y) = (-24.8249,29.4587)

532 : (x,y) = (-24.2622,28.632)

533 : (x,y) = (-24.741,29.51)

534 : (x,y) = (-23.8494,29.9629)

535 : (x,y) = (-22.9503,29.525)

536 : (x,y) = (-23.6115,28.7748)

537 : (x,y) = (-22.8552,28.1205)

538 : (x,y) = (-22.9841,29.1122)

539 : (x,y) = (-22.108,28.63)

540 : (x,y) = (-23.1041,28.5417)

541 : (x,y) = (-22.3611,27.8725)

542 : (x,y) = (-23.2735,28.2817)

543 : (x,y) = (-22.6782,27.4782)

544 : (x,y) = (-22.291,26.5562)

545 : (x,y) = (-21.8374,27.4474)

546 : (x,y) = (-21.143,26.7278)

547 : (x,y) = (-22.1404,26.7993)

548 : (x,y) = (-22.3088,27.7851)

549 : (x,y) = (-21.7055,26.9875)

550 : (x,y) = (-22.318,27.778)

551 : (x,y) = (-21.7777,28.6195)

552 : (x,y) = (-22.6655,28.1591)

553 : (x,y) = (-23.6242,27.8747)

554 : (x,y) = (-22.6354,28.0241)

555 : (x,y) = (-22.1641,28.9061)

556 : (x,y) = (-21.545,28.1208)

557 : (x,y) = (-21.2202,29.0666)

558 : (x,y) = (-21.4407,28.0912)

559 : (x,y) = (-21.0598,29.0158)

560 : (x,y) = (-21.43,29.9448)

561 : (x,y) = (-21.211,30.9205)

562 : (x,y) = (-21.2801,31.9181)

563 : (x,y) = (-22.266,31.7505)

564 : (x,y) = (-21.9727,30.7944)

565 : (x,y) = (-22.8681,31.2398)

566 : (x,y) = (-21.9188,31.5544)

567 : (x,y) = (-21.0953,30.9871)

568 : (x,y) = (-21.0078,29.9909)

569 : (x,y) = (-21.7452,30.6664)

570 : (x,y) = (-20.7569,30.5138)

571 : (x,y) = (-19.8653,30.9667)

572 : (x,y) = (-20.8528,30.809)

573 : (x,y) = (-21.8026,30.4959)

574 : (x,y) = (-22.6399,29.9492)

575 : (x,y) = (-23.5716,30.3123)

576 : (x,y) = (-24.0765,31.1755)

577 : (x,y) = (-23.1242,31.4806)

578 : (x,y) = (-22.5698,30.6483)

579 : (x,y) = (-21.7737,31.2535)

580 : (x,y) = (-22.2079,32.1543)

581 : (x,y) = (-21.2587,32.4689)

582 : (x,y) = (-20.4185,31.9265)

583 : (x,y) = (-20.3877,32.9261)

584 : (x,y) = (-20.9707,32.1136)

585 : (x,y) = (-21.5778,31.319)

586 : (x,y) = (-21.9877,30.4068)

587 : (x,y) = (-21.1757,29.8232)

588 : (x,y) = (-22.1593,30.0038)

589 : (x,y) = (-21.5695,30.8114)

590 : (x,y) = (-21.6983,31.803)

591 : (x,y) = (-20.7096,31.9525)

592 : (x,y) = (-21.63,32.3434)

593 : (x,y) = (-20.6303,32.3202)

594 : (x,y) = (-21.5314,31.8866)

595 : (x,y) = (-20.5741,31.5976)

596 : (x,y) = (-21.1786,32.3942)

597 : (x,y) = (-20.1847,32.504)

598 : (x,y) = (-20.5485,31.5725)

599 : (x,y) = (-21.4362,31.1122)

600 : (x,y) = (-20.449,31.2715)

601 : (x,y) = (-21.013,32.0973)

602 : (x,y) = (-20.7745,33.0684)

603 : (x,y) = (-20.5849,34.0503)

604 : (x,y) = (-21.1239,34.8926)

605 : (x,y) = (-21.193,35.8902)

606 : (x,y) = (-21.5381,34.9516)

